subject,mean_fd,mean_fd_noz,80percentile_fd,80percentile_fd_noz,max_fd,max_fd_noz,percent_suprathreshold,max_trans_x,max_trans_y,max_trans_z,max_rot_x,max_rot_y,max_rot_z
sub-BSCMR001,0.2858976285907945,0.10890254865639498,0.32464299269339547,0.11735816519599039,4.499998885242833,3.5273619127785967,0.023411371237458192,0.8487957907743322,0.8317540196710809,1.3375201382623845,2.638376778813658,0.5103856994068728,0.9293488776338288
sub-BSCMR002,0.50415649928799,0.2206879382840113,0.6936656857812487,0.29946023340988764,2.572009699785806,1.8491527931271152,0.07051282051282051,1.4658899944444386,0.7364194065198575,2.027770829468878,1.466379864077718,0.8371076459788441,0.3575937344855936
sub-BSCMR005,0.15937257645502617,0.08300388032903325,0.21184478089269657,0.10440144380011492,1.3733828662889231,0.43416868717309526,0.0,1.0227655309717392,3.316954235099388,0.6859951127291808,1.888934868158516,0.6664650349710629,0.8652291772459769
sub-BSCMR006,0.1156799656717996,0.04375487978655567,0.1542682330746415,0.05962468524696263,0.3533872450116677,0.18455316699857685,0.0,0.6672076366559452,2.3368300948326066,0.6414679874310139,0.6618638186077128,0.7198939223212665,0.7703101575716661
sub-BSCMR008,0.12582252704299077,0.05215786089846655,0.16750417667113135,0.06621464551377208,0.7228689971219512,0.5734932006345248,0.003278688524590164,0.2382132468630118,2.196327424127915,0.3814687811370305,1.256778317824359,0.5417406722439337,0.17040218990521236
sub-BSCMR009,0.1340436320021078,0.06437653672121295,0.1627586578422289,0.07861498231396616,2.970084928509216,1.3994467332850244,0.006557377049180328,0.3460196307305665,4.840173865895778,0.7339083701343867,1.4318718446673404,0.5659653572742155,0.5916440609186243
sub-BSCMR010,0.13578045339218134,0.057078567670039805,0.16993432838560266,0.0815490809330869,0.8080333693055497,0.3373901679524086,0.0,0.3721922476352688,2.5370087423411007,0.8685595580539314,0.2879799756696125,0.31987097305611073,0.16735633804727465
sub-BSCMR011,0.1336946784522659,0.048847618757706546,0.14683112749309732,0.05342985044866052,1.9447572998521303,0.6907577980094737,0.00684931506849315,0.3468774630364493,2.580919246450364,1.375831721318292,0.9905289472396276,0.4372100770830656,0.14071722064875924
sub-BSCMR012,0.08047369299292582,0.03914391028178312,0.10685716726439666,0.052180975065629444,0.3057146085083855,0.1543160525934194,0.0,0.2526404893840492,2.045376738904139,0.4738531936785364,0.39782281454629276,0.10709995671576432,0.4202594829187754
sub-BSCMR013,0.15694640140153276,0.05806686271333273,0.21378385270772715,0.0754039352062657,0.6167210138057638,0.5069800653275892,0.003278688524590164,0.1980915915911651,3.3964731270914825,0.5008579698401263,0.3545966658039664,0.1681977921754925,0.2599488593600871
sub-BSCMR014,0.24157608026451474,0.14082003188145,0.25993939789341164,0.13778809912187262,4.236844886012988,2.83297158051188,0.047619047619047616,0.569166483808786,3.01040461656919,1.1359135252374912,2.4134036462685926,0.6198893876735385,0.39281948088429075
sub-BSCMR015,0.18146097516658127,0.10650635598719689,0.21793623558645714,0.13155727701907957,1.335988539636247,0.9172994544035472,0.012903225806451613,0.7983855925108259,2.409423030244895,0.6418564275526677,1.363345557429591,0.7233833899429435,0.9569852283376137
sub-BSCMR016,0.11411886721821599,0.05861376974730656,0.15813095815065967,0.07963383225563227,0.7114441697599845,0.43104206603153616,0.0,0.3416085461319795,1.954142710311686,0.3664482167519054,0.25599355756332764,0.11057366934698405,0.44748989861292804
sub-BSCMR017,0.11187686928391562,0.047427949676860245,0.1388683534823602,0.057537750795587116,1.0937510052398889,0.6885049496542957,0.006557377049180328,0.1441832690445892,3.5418726289820768,0.6647714757585703,0.8148319451389912,0.13332625179715718,0.3803248212993892
sub-BSCMR018,0.08641174940352898,0.041054785255358765,0.10580739049563968,0.051951717565338285,1.0059143138555964,0.6791438253124635,0.003278688524590164,0.2916767189031048,2.392570822967357,0.3282633757519875,0.6863702516208455,0.22884123512016727,0.2796602721574083
sub-BSCMR019,0.2459894482813867,0.12062222133273308,0.36582565376305665,0.1810635455916732,1.359765097460722,0.79050519293166,0.009836065573770493,0.3339144716024123,2.2535456071129687,1.5861286461335735,1.3707485548553522,0.3202377955237559,0.32485606489048985
sub-BSCMR020,0.168342887230649,0.06932228153049215,0.22700895414553154,0.0917397393228897,0.8814417322393933,0.4615201057615982,0.0,0.4298945224142301,3.52022500678612,1.84092346636308,1.1858775157054346,0.3834066598836012,0.32276253388883225
sub-BSCMR021,0.19136581142357562,0.09270940164586368,0.2725601472706927,0.13472539363293523,1.087218439187222,0.4600524072633011,0.0,0.2643188320180627,3.2976266820918454,2.3549250926651624,1.2245103764560945,0.33157652185847863,0.48768798940117425
sub-BSCMR023,0.2333658077742636,0.07397891994156292,0.31550954112328344,0.10255837571699819,1.2282769094262038,0.4461382350202669,0.0,0.1641956814568033,2.638029006748212,1.3013821397271244,0.4626823303799205,0.3565519729157624,0.4065612660295087
sub-BSCMR024,0.16371808167795707,0.08912502715285348,0.22271958136802447,0.13224320552383462,1.027064541353203,0.4769074544744756,0.0,1.211875784527848,3.714840835760143,1.7584065746055018,1.0309537656083392,1.0204938164830155,0.850065324394546
sub-BSCMR025,0.4135790127423588,0.22224801047243367,0.37893972806716064,0.19366996496743566,5.676990432163509,4.663092424370532,0.08524590163934426,2.3802917198251947,2.3459615639884674,4.179747291597707,4.933754627524335,0.9516526405805271,1.069884296157684
sub-BSCMR026,0.34194212077869873,0.1128146947621892,0.482659411675263,0.15523273750824707,1.0708233988419815,0.4691143770263451,0.0,0.1791745774732618,3.495959252343709,0.7209224524558593,0.9406747409759989,0.5200919150678506,1.0306714454273378
sub-BSCMR027,0.09109674667187001,0.03550481270468586,0.12209628555848798,0.048203897728125784,0.3722689420952741,0.13277157926049138,0.0,0.2200715371524779,2.185565776185939,0.1516640551724322,0.08642678572472587,0.21561652376457313,0.19680308216823836
sub-BSCMR028,0.20827667445377337,0.09670794501487705,0.2113531326433192,0.10785311946364295,2.1565051233258123,0.6817548416111907,0.019672131147540985,0.5606572472083116,2.627961246301936,2.185694213302952,1.3064624233503241,0.6725533802632981,0.5247225952989674
sub-BSCMR029,0.10697928547563643,0.05263011540965469,0.13083383453322922,0.07045864377854236,0.751398054730114,0.2772002390091557,0.0,0.6563268209130939,3.608135968715132,0.2027879174501663,0.3613806332148722,0.30774702601369397,0.41464749528937667
sub-BSCMR030,0.15696434621753944,0.07727187001202988,0.2053933161808779,0.10269760300614221,1.1252494710558327,0.5402795163272911,0.009836065573770493,0.4320629341328725,3.46774143619875,1.7541854234743326,1.528202087203656,0.3020767994438868,0.5981729346477497
sub-BSCMR031,0.09385199736371302,0.04238993940136201,0.11536999588659987,0.05672173762707526,1.0293868493295002,0.3466847850543808,0.0,0.1958249217611438,3.6944265695731815,1.0338788007347333,0.6900850930761763,0.2604700055025073,0.09912400393861735
sub-BSCMR032,0.12366445338542846,0.07502732831383055,0.16050383935016402,0.098612892253838,2.2820090370929145,1.1565766424206694,0.009836065573770493,0.4057176774683029,2.0659303562138973,0.8435131589943268,0.7422752300715287,0.5377852147875131,0.9481853772430594
sub-BSCMR033,0.1876995044591692,0.057119976405498096,0.23286204423900905,0.07350750218161328,0.7989268175703533,0.4082009657453857,0.0,0.2211843734682048,4.467757874710003,1.2696313369039416,0.9135780257384241,0.39734884424913836,0.16598829010397015
sub-BSCMR034,0.1801195355566774,0.06424203917434092,0.2772107410871455,0.08733337825445657,1.433924086447809,0.6739741881821067,0.003278688524590164,0.1334495922122016,2.59849500116188,1.50961893425535,0.6182247814338389,0.31238507109054137,0.16466136131666906
sub-BSCMR035,0.17898045576110067,0.06053968379466273,0.23921712549372484,0.08043222569746653,1.0589454969435197,0.2957091981905621,0.0,0.2353637145643574,1.807255169882822,0.5467773327138588,0.58471328227553,0.30422469636571764,0.46794838221688934
sub-BSCMR036,0.11780714731275138,0.06487472523113279,0.14865427914660823,0.08901680787605463,1.3248806449373536,0.6641121781471941,0.003278688524590164,0.8090223843008175,3.1761960385409225,0.7851889635124962,0.5545739203999571,0.21044853637997318,0.5856883694122724
sub-BSCMR037,0.26039033512772525,0.11862145629313457,0.289906478114751,0.10012642821804829,3.5998153268623145,2.7486660368141873,0.03934426229508197,0.923604527934188,2.6022436501250894,1.0344227889122948,2.1499517704826396,0.6348993269117799,1.2748351298686242
sub-BSCMR038,0.08613451606167401,0.049881511206917244,0.11083586032692182,0.06808075797352675,0.3291111472785841,0.16825912452866537,0.0,0.2735995488261125,1.7627321023722544,0.2163178420893245,0.5486060618360569,0.15334275377730822,1.0158716176279619
sub-BSCMR039,0.3216835288980153,0.14638130847428163,0.4072834368276377,0.19395376496894962,2.9475613991461467,2.346358517826609,0.02622950819672131,0.6814242127239964,2.0595670629003138,1.6858640807441674,2.2674703678805685,0.5519785346870414,0.6627082078648894
sub-BSCMR040,0.2146015718210638,0.11463419145068182,0.305034294524441,0.17615958513807328,0.9238833471386428,0.6379295806511485,0.003278688524590164,0.9691484036494272,3.234040690427264,1.3782500767732486,1.2578894166845276,0.38606439497932576,1.7837963342963583
sub-BSCMR041,0.11770022027698827,0.05725893815443278,0.16139396810644271,0.08310611304008324,0.4350172766961252,0.21354237941555443,0.0,0.0438479381531493,2.486685360166448,0.2630380062964761,0.38984304975718737,0.17498747954127125,0.13231052114305608
sub-BSCMR042,0.15016266794898595,0.05511838618868239,0.1845591753510459,0.0734654622873471,1.0670685924436103,0.4252514338105716,0.0,0.5294587214179955,2.400691055569169,0.429283755938691,0.428005039217441,0.18948660359448583,0.46226469621087357
sub-BSCMR043,0.18261499937531947,0.10538106542191397,0.2263308888034312,0.1484004298759039,1.9947983026491336,0.931407306518704,0.019672131147540985,0.4934153300776671,2.4265843593486665,1.08248600732734,1.3277216764395745,0.3981072316622454,0.42181696851414024
sub-BSCMR044,0.07299003049692593,0.03417983866973942,0.08864533837420821,0.044739423855663346,0.7210359668317164,0.2816020214395845,0.0,0.2009769555609892,3.3894582125313946,0.464573153772136,0.3806057641076242,0.0961894185242679,0.364861753174821
sub-BSCMR045,0.11053715973684564,0.06211971415555911,0.141469384364455,0.08257932214151847,0.5475588863496923,0.32274761646550737,0.0,0.1140771193250742,2.4264517919098694,0.1242359475679677,0.22673901654941478,0.321822959406948,0.24195438370741407
sub-BSCMR046,0.5632342299054727,0.31972885249596317,0.28970782337635387,0.17014591514007044,19.85584343419976,10.769390876811887,0.08524590163934426,2.0291376499288134,2.63303335505951,6.528949166503686,10.134199129843992,4.4899948105620595,1.3659193212838534
sub-BSCMR047,0.12859291627132902,0.05246390739859607,0.17124904293408807,0.07003515806075802,0.5056068506393658,0.1518729529658734,0.0,0.7911709961442881,2.2897772896945554,0.2081437101991881,0.2894756947312034,0.09580832714148153,0.6538118152991441
sub-BSCMR048,0.32404687928129244,0.16692760633492146,0.3808256621208781,0.22518053514935168,2.360423407894277,1.7425758504945015,0.05583756345177665,0.9565083742174352,2.59445152417247,0.9518420248895224,1.2059872371773372,0.3606126061331807,1.1784824867012043
sub-BSCMR049,0.3087065100492965,0.176388995078189,0.39341329942753367,0.2106380649584132,4.03094534835554,1.837789900638764,0.07213114754098361,1.443825476850293,2.772784889909289,2.541129592017896,2.6641558478354814,1.637260700202144,0.7543584509110934
sub-BSCMR050,0.15612449816604246,0.08682181623207873,0.16954812722291365,0.10136798390903778,2.009389007774732,1.4385202104766277,0.01639344262295082,0.1061968267315336,2.351246214884455,0.5413538137570555,2.0096644177607734,0.3583320743926613,0.20413115777665747
sub-BSCMR051,0.15574079428973212,0.10600867044236185,0.1929996425627712,0.1379346469776732,1.189041724558488,1.0277581945409742,0.01639344262295082,0.1609349953765644,2.2200817633786727,0.2064412286858044,1.1898023248255607,0.35138434548869435,0.5037585725762285
sub-BSCMR052,0.1694384448710846,0.07367896654829591,0.22345024816638612,0.09652582966461294,1.314122900339161,0.5895281891222234,0.006557377049180328,0.2218696768399155,3.5069778085125023,0.8538689255261573,0.4905529224446596,0.4373725802455353,0.26854868906985624
sub-BSCMR053,0.3314783406790034,0.19376257211249773,0.30069809174575274,0.17418870560356586,8.87760549889552,5.075937975271927,0.04918032786885246,1.363303812365956,3.978801225175488,3.793922461355251,3.2957828801377866,1.6622862580572713,1.2992475411951998
sub-BSCMR054,0.10607942837860371,0.05478047316187437,0.13655332812004106,0.07334440653090718,0.6047094763330961,0.42762277517388436,0.0,0.23279885437546,2.159361919587454,0.8758266443583551,0.8516000105893309,0.259787077094158,0.1291269236753858
sub-BSCMR055,0.30124733164168244,0.08349149546928228,0.43016965717956246,0.11922246786455301,1.4093187641486828,0.5294233079455388,0.003278688524590164,0.1643129048300835,3.948110399743385,1.8286781870584927,1.025884675632393,0.29312025029270644,0.3874967798354687
sub-BSCMR056,0.21179794109917743,0.10747458017632809,0.2755670239237804,0.14078178215915768,3.464440459068032,2.351420386341596,0.009836065573770493,0.889345072523426,2.123362219458116,3.017068819212241,0.9441101522942753,1.18899549073947,0.464397473243824
sub-BSCMR057,0.09842050011948875,0.05123269172638409,0.1327091744851673,0.07088468074328128,0.6389107037770675,0.29148270763230116,0.0,0.7728096072642217,2.8464122127219724,0.9499299336878052,0.7363436838942327,0.3170529921253321,0.5127320689661068
sub-BSCMR058,0.15108322447135777,0.0459288244386558,0.19950089167306528,0.05958805271715582,0.5493109650656838,0.38993680857794066,0.0,0.1504964081552344,1.5036052088132408,0.5183405664618164,0.5964757503890861,0.12283946937203258,0.37991615795251926
sub-BSCMR059,0.1411506864095122,0.06842805105172788,0.18027926653954943,0.08563208564315113,1.0759880957287875,0.6016773732439832,0.003278688524590164,0.4503749513245481,3.773717222788491,1.1546461089976603,0.6239243498634423,0.7073331038657918,0.13597395347185245
sub-BSCMR060,0.3297551393638365,0.16274453797566668,0.4278503572328039,0.196216449396363,3.2510680897857647,1.937607241203386,0.05573770491803279,0.5530535307768645,2.489659272580269,3.1403171878011022,4.448908331587711,0.40592697504622,0.4255836026294042
sub-BSCMR061,0.2138546899386997,0.08524931356194039,0.2843220289189975,0.10917824776585783,0.6294623499310384,0.3004037927033465,0.0,0.6523049977351434,2.4230616555749123,1.0234476928372374,0.738844855381092,0.4084261703196767,0.22057568066926592
sub-BSCMR062,0.06991968136790945,0.03711472864514206,0.08858833250680731,0.04794360736422905,0.4037376203246174,0.2201577484731748,0.0,0.0558930568399205,2.2098822494644,0.1575336378072904,0.19599746451213518,0.24317468150431193,0.16520027988332645
sub-BSCMR063,0.13373039923142183,0.0738499220011698,0.18523129551674372,0.11835042384402762,1.300113114460897,0.7568825015438119,0.013114754098360656,0.135215902043285,3.91650638412716,0.5462917978558579,0.8147881644243536,0.23187357791333507,0.19364247134739368
sub-BSCMR064,0.2774312210105513,0.13043846279278465,0.3226549831339278,0.1618882752790327,2.9457739244343366,1.7344826653439653,0.029508196721311476,1.6968184839554965,2.582680029379361,3.6271801098326506,2.1530450637020198,1.905372764508289,1.12508628555542
sub-BSCMR065,0.10304434222232853,0.05040598151567667,0.1360390842360377,0.0678833320687163,0.690735690618812,0.3972459844337872,0.0,0.4658022353308411,2.4619439402386263,0.2273626721286774,0.2559338568424803,0.40419962577489765,0.25090400810472563
sub-BSCMR066,0.1449765820599263,0.08290709486342454,0.16501402284223257,0.10171384750980803,2.851626251870957,1.440588587354991,0.01639344262295082,0.2309016445120306,3.503151881888797,1.4712423179428455,1.248531844696974,0.1941723940179747,0.2920986069932531
sub-BSCMR067,0.24871764072909364,0.1215548229183913,0.24863900466700006,0.1271364875775012,4.28925580504931,2.311748208272663,0.05573770491803279,0.6314518146386519,3.023296823185888,1.0361681613956932,0.9018088670038024,1.0352215621179597,0.6766346555470651
sub-BSCMR068,0.09016184395704939,0.03984463831472255,0.12345183115474305,0.05771227858988262,0.2384167248696639,0.12369049433085878,0.0,0.1698859239862429,2.256672365144837,0.4328718912362603,0.7334833835629824,0.15395484524022807,0.15875705636052118
sub-BSCMR069,0.16639871378086504,0.07268634225924843,0.18875062546867646,0.09410412212254979,1.70527787260424,0.682577724764819,0.013114754098360656,1.0363867394334392,3.3003259666716502,0.9877919928778028,0.5711224293003418,0.47940818443292693,0.234535046001962
sub-BSCMR070,0.11136425773180185,0.05301262580711357,0.14366282150813348,0.06733518385890208,0.649183024827195,0.3443292165501949,0.0,0.3152716558929995,2.405599545277184,0.1588532061089012,0.4753423007989987,0.3428514184383326,0.1642118108462157
sub-BSCMR071,0.43289138422882917,0.24534959993613206,0.5304336528858875,0.28794151607765694,9.35409372479154,4.395194128385697,0.11475409836065574,1.8694045279723213,2.266772512369414,4.579825071509603,3.582714894486491,0.9930390435688241,1.1772610762412212
sub-BSCMR072,0.08075517496873033,0.037722761847349934,0.1070061916792446,0.04836130531569094,0.3212499637301688,0.1995254059873259,0.0,0.1869618755964666,2.2251112957397936,0.2964966245933311,0.15126604013744435,0.1250257291744853,0.21510755244155488
sub-BSCMR073,0.21957175251829772,0.10603403625115114,0.27713523972740856,0.13570061686422602,1.7180528864344609,1.1352728238076084,0.009836065573770493,0.2099469450216275,3.839364531475837,1.2161824693651369,0.8281519268328095,0.7982140191166327,0.6236127574415548
sub-BSCMR074,0.1477889697376065,0.08854714432134717,0.14822076185943936,0.09244126941133858,3.827996130063952,3.1098087648641277,0.01639344262295082,0.6973451909076118,2.138393278096516,0.9557423383818816,1.1816119333837536,2.4924972759813935,0.7612746503503894
sub-BSCMR075,26.57600534015046,14.858458757517152,12.561228143959074,5.760277500241072,586.3757792890392,407.6862215325795,0.8885245901639345,364.2127911282535,252.1260415736892,171.02928609434946,55.85140807368153,21.391018998547413,110.37965466967971
